Title,Authors,Published Date,Topics,URL,Archive ID,Format
"Deep Learning with Python, Second Edition",Francois Chollet,2021-11-03,cda50ea0-3a3a-4d54-89bb-a7a4179365e6,/library/view/deep-learning-with/9781617296864/Text/11.htm,9781617296864,book
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","Paul J. Deitel, Harvey M. Deitel",2019-05-10,cda50ea0-3a3a-4d54-89bb-a7a4179365e6,/library/view/intro-to-python/9780135404799/xhtml/toc.xhtml,9780135404799,book
Dead Simple Python,Jason C. McDonald,2022-11-22,cda50ea0-3a3a-4d54-89bb-a7a4179365e6,/library/view/dead-simple-python/9781098156671/c21.xhtml,9781098156671,book
Building AI Intensive Python Applications,"Rachelle Palmer, Ben Perlmutter, Ashwin Gangadhar, Nicholas Larew, Sigfrido Narváez, Thomas Rueckstiess, Henry Weller, Richmond Alake, Shubham Ranjan",2024-09-06,cda50ea0-3a3a-4d54-89bb-a7a4179365e6,/library/view/building-ai-intensive/9781836207252/B22495_05.xhtml,9781836207252,book
Artificial Intelligence with Python Cookbook,Ben Auffarth,2020-10-30,cda50ea0-3a3a-4d54-89bb-a7a4179365e6,/library/view/artificial-intelligence-with/9781789133967/9d86a02a-b957-4a49-88a3-9c1d25bff709.xhtml,9781789133967,book
